skip	done	track_number	start_time	session_date	session_name	style_tags	current_track_title	top_track_artist	top_track_title	bottom_track_artist	bottom_track_title	output_filename	video_title	video_description	publish_datetime	full_session	Notes	publish_date	publish_time											
0	0	22	01:01:08	210730	Remember	 #remember #cantaditas #radical	Bocaccio Life - Angels	KDC	Bass you	Bocaccio Life	Angels	210730_22	KDC vs Bocaccio Life - INITdj #session #dj #remember #cantaditas #radical	KDC Bass you  vs  Bocaccio Life Angels  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_22]	2022-10-02T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-02	04:00											
0	0	23	01:03:07	210730	Remember	 #remember #cantaditas #radical	Johnny Napalm - Back to the funk	Bocaccio Life	Angels	Johnny Napalm	Back to the funk	210730_23	Bocaccio Life vs Johnny Napalm - INITdj #session #dj #remember #cantaditas #radical	Bocaccio Life Angels  vs  Johnny Napalm Back to the funk  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_23]	2022-09-27T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-27	23:00											
0	0	24	01:06:37	210730	Remember	 #remember #cantaditas #radical	Weekend - Rhythm of the night	Johnny Napalm	Back to the funk	Weekend	Rhythm of the night	210730_24	Johnny Napalm vs Weekend - INITdj #session #dj #remember #cantaditas #radical	Johnny Napalm Back to the funk  vs  Weekend Rhythm of the night  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_24]	2022-10-02T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-02	08:00											
0	0	25	01:09:40	210730	Remember	 #remember #cantaditas #radical	Oscar Akagy vs Dj Omar - Bass boom	Weekend	Rhythm of the night	Oscar Akagy vs Dj Omar	Bass boom	210730_25	Weekend vs Oscar Akagy vs Dj Omar - INITdj #session #dj #remember #cantaditas #radical	Weekend Rhythm of the night  vs  Oscar Akagy vs Dj Omar Bass boom  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_25]	2022-09-28T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-28	04:00											
0	0	26	01:13:00	210730	Remember	 #remember #cantaditas #radical	More - Forever with me	Oscar Akagy vs Dj Omar	Bass boom	More	Forever with me	210730_26	Oscar Akagy vs Dj Omar vs More - INITdj #session #dj #remember #cantaditas #radical	Oscar Akagy vs Dj Omar Bass boom  vs  More Forever with me  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_26]	2022-10-02T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-02	19:00											
0	0	27	01:15:28	210730	Remember	 #remember #cantaditas #radical	Dj Gilbert - Dulux	More	Forever with me	Dj Gilbert	Dulux	210730_27	More vs Dj Gilbert - INITdj #session #dj #remember #cantaditas #radical	More Forever with me  vs  Dj Gilbert Dulux  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_27]	2022-09-28T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-28	08:00											
0	0	28	01:17:39	210730	Remember	 #remember #cantaditas #radical	Lisa Abbott - Blow me away	Dj Gilbert	Dulux	Lisa Abbott	Blow me away	210730_28	Dj Gilbert vs Lisa Abbott - INITdj #session #dj #remember #cantaditas #radical	Dj Gilbert Dulux  vs  Lisa Abbott Blow me away  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_28]	2022-10-02T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-02	23:00											
0	0	29	01:21:56	210730	Remember	 #remember #cantaditas #radical	Southside spinners - Luvstruck	Lisa Abbott	Blow me away	Southside spinners	Luvstruck	210730_29	Lisa Abbott vs Southside spinners - INITdj #session #dj #remember #cantaditas #radical	Lisa Abbott Blow me away  vs  Southside spinners Luvstruck  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_29]	2022-09-28T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-28	19:00											
0	0	30	01:27:17	210730	Remember	 #remember #cantaditas #radical	Michael Woods - Solex	Southside spinners	Luvstruck	Michael Woods	Solex	210730_30	Southside spinners vs Michael Woods - INITdj #session #dj #remember #cantaditas #radical	Southside spinners Luvstruck  vs  Michael Woods Solex  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_30]	2022-10-03T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-03	04:00											
0	0	31	01:29:29	210730	Remember	 #remember #cantaditas #radical	Candy Girls - Bomp da de	Michael Woods	Solex	Candy Girls	Bomp da de	210730_31	Michael Woods vs Candy Girls - INITdj #session #dj #remember #cantaditas #radical	Michael Woods Solex  vs  Candy Girls Bomp da de  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_31]	2022-09-28T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-28	23:00											
0	0	32	01:31:29	210730	Remember	 #remember #cantaditas #radical	Liquid feat Silvy - Turn the tide	Candy Girls	Bomp da de	Liquid feat Silvy	Turn the tide	210730_32	Candy Girls vs Liquid feat Silvy - INITdj #session #dj #remember #cantaditas #radical	Candy Girls Bomp da de  vs  Liquid feat Silvy Turn the tide  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_32]	2022-10-03T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-03	08:00											
0	0	33	01:35:53	210730	Remember	 #remember #cantaditas #radical	Guerilla - Our time is now	Liquid feat Silvy	Turn the tide	Guerilla	Our time is now	210730_33	Liquid feat Silvy vs Guerilla - INITdj #session #dj #remember #cantaditas #radical	Liquid feat Silvy Turn the tide  vs  Guerilla Our time is now  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_33]	2022-09-29T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-29	04:00											
0	0	34	01:38:46	210730	Remember	 #remember #cantaditas #radical	Anon Ft Jordan Sparks - I’ll always have you	Guerilla	Our time is now	Anon Ft Jordan Sparks	I’ll always have you	210730_34	Guerilla vs Anon Ft Jordan Sparks - INITdj #session #dj #remember #cantaditas #radical	Guerilla Our time is now  vs  Anon Ft Jordan Sparks I’ll always have you  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_34]	2022-10-03T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-03	19:00											
0	0	35	01:41:26	210730	Remember	 #remember #cantaditas #radical	Bassraiders - Revolution	Anon Ft Jordan Sparks	I’ll always have you	Bassraiders	Revolution	210730_35	Anon Ft Jordan Sparks vs Bassraiders - INITdj #session #dj #remember #cantaditas #radical	Anon Ft Jordan Sparks I’ll always have you  vs  Bassraiders Revolution  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_35]	2022-09-29T08:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-29	08:00											
0	0	36	01:43:40	210730	Remember	 #remember #cantaditas #radical	Dj DBC - The tsunami	Bassraiders	Revolution	Dj DBC	The tsunami	210730_36	Bassraiders vs Dj DBC - INITdj #session #dj #remember #cantaditas #radical	Bassraiders Revolution  vs  Dj DBC The tsunami  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_36]	2022-10-03T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-03	23:00											
0	0	37	01:47:12	210730	Remember	 #remember #cantaditas #radical	Dj Sergi - Our love	Dj DBC	The tsunami	Dj Sergi	Our love	210730_37	Dj DBC vs Dj Sergi - INITdj #session #dj #remember #cantaditas #radical	Dj DBC The tsunami  vs  Dj Sergi Our love  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_37]	2022-09-29T19:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-29	19:00											
0	0	38	01:50:42	210730	Remember	 #remember #cantaditas #radical	Head Hornys & Miguel Serna - Real	Dj Sergi	Our love	Head Hornys & Miguel Serna	Real	210730_38	Dj Sergi vs Head Hornys & Miguel Serna - INITdj #session #dj #remember #cantaditas #radical	Dj Sergi Our love  vs  Head Hornys & Miguel Serna Real  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_38]	2022-10-04T04:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-10-04	04:00											
0	0	39	01:54:20	210730	Remember	 #remember #cantaditas #radical	Chasis - Kanashimi moyashite	Head Hornys & Miguel Serna	Real	Chasis	Kanashimi moyashite	210730_39	Head Hornys & Miguel Serna vs Chasis - INITdj #session #dj #remember #cantaditas #radical	Head Hornys & Miguel Serna Real  vs  Chasis Kanashimi moyashite  - Live  Remember  session on  210730 .  \\nLike and subscribe to my Youtube channel for the full length session [210730_39]	2022-09-29T23:00:00.0+00:00	Full session available at: https://youtu.be/AGsvoR8Xkl4 \\n	Applied Rhythms vol. 3	2022-09-29	23:00											
